TABLE:hullclass
IND,0
UC,0
FT1,1
FF,2
FT2,3
DT1,4
DT2,5
CT1,6
FC,7
CT2,9
CT3,12
BCT1,15
BCT2,20
BCT3,25
BS,30
FBS,35
CAP,140
SCAP,560
TABLE:ship
Capsule,rookie ships,UC
Apotheosis,shuttles,UC
Goru's shuttle,shuttles,UC
Guristas shuttle,shuttles,UC
Interbus shuttle,shuttles,UC
Zephyr,shuttles,UC
Amarr shuttle,shuttles,UC
Caldari shuttle,shuttles,UC
Gallente shuttle,shuttles,UC
Minmatar shuttle,shuttles,UC
Impairor,rookie ships,UC
Ibis,rookie ships,UC
Velator,rookie ships,UC
Reaper,rookie ships,UC
Crucifier,frigates,FT1
Executioner,frigates,FT1
Inquisitor,frigates,FT1
Magnate,frigates,FT1
Punisher,frigates,FT1
Tormentor,frigates,FT1
Bantam,frigates,FT1
Condor,frigates,FT1
Griffin,frigates,FT1
Heron,frigates,FT1
Kestrel,frigates,FT1
Merlin,frigates,FT1
Atron,frigates,FT1
Imicus,frigates,FT1
Incursus,frigates,FT1
Maulus,frigates,FT1
Navitas,frigates,FT1
Tristan,frigates,FT1
Breacher,frigates,FT1
Burst,frigates,FT1
Probe,frigates,FT1
Rifter,frigates,FT1
Slasher,frigates,FT1
Vigil,frigates,FT1
Imperial Navy Slicer,faction frigates,FF
Caldari Navy Hookbill,faction frigates,FF
Federation navy comet,faction frigates,FF
Republic fleet firetail,faction frigates,FF
Cruor,faction frigates,FF
Daredevil,faction frigates,FF
Dramiel,faction frigates,FF
Succubus,faction frigates,FF
Worm,faction frigates,FF
Echelon,faction frigates,FF
Freki,faction frigates,FF
Gold magnate,faction frigates,FF
Polaris Centurion TEST,faction frigates,FF
Polaris Inspector frigate,faction frigates,FF
Polaris Legatus Frigate,faction frigates,FF
Silver magnate,faction frigates,FF
Coercer,destroyers,DT1
Cormorant,destroyers,DT1
Catalyst,destroyers,DT1
Thrasher,destroyers,DT1
Arbitrator,cruisers,CT1
Augoror,cruisers,CT1
Maller,cruisers,CT1
Omen,cruisers,CT1
Blackbird,cruisers,CT1
Caracal,cruisers,CT1
Moa,cruisers,CT1
Osprey,cruisers,CT1
Celestis,cruisers,CT1
Exequror,cruisers,CT1
Thorax,cruisers,CT1
Vexor,cruisers,CT1
Bellicose,cruisers,CT1
Rupture,cruisers,CT1
Scythe,cruisers,CT1
Stabber,cruisers,CT1
Augoror navy issue,faction cruisers,FC
Omen navy issue,faction cruisers,FC
Caracal navy issue,faction cruisers,FC
Osprey navy issue,faction cruisers,FC
Exequror navy issue,faction cruisers,FC
Vexor navy issue,faction cruisers,FC
Scythe fleet issue,faction cruisers,FC
Stabber fleet issue,faction cruisers,FC
Ashimmu,faction cruisers,FC
Cynabal,faction cruisers,FC
Gila,faction cruisers,FC
Phantasm,faction cruisers,FC
Vigilant,faction cruisers,FC
Guardian-vexor,faction cruisers,FC
Opux Luxury Yacht,faction cruisers,FC
Harbinger,battlecruisers,BCT1
Prophecy,battlecruisers,BCT1
Drake,battlecruisers,BCT1
Ferox,battlecruisers,BCT1
Brutix,battlecruisers,BCT1
Myrmidon,battlecruisers,BCT1
Cyclone,battlecruisers,BCT1
Hurricane,battlecruisers,BCT1
Abaddon,battleships,BS
Apocalypse,battleships,BS
Armageddon,battleships,BS
Raven,battleships,BS
Rokh,battleships,BS
Scorpion,battleships,BS
Dominix,battleships,BS
Hyperion,battleships,BS
Megathron,battleships,BS
Maelstrom,battleships,BS
Tempest,battleships,BS
Typhoon,battleships,BS
